<SM 0
1 3221225472 1
1 3221225504 1
1 3221226496 2
1 3221226528 2
1 3221227520 2
1 3221227552 2
1 3221228544 2
1 3221228576 2
1 3221229568 2
1 3221229600 2
1 3221230592 2
1 3221230624 2
1 3221231616 2
1 3221231648 2
1 3221232640 2
1 3221232672 2
1 3221233664 2
1 3221233696 2
1 3221234688 2
1 3221234720 2
1 3221235712 2
1 3221235744 2
1 3221236736 2
1 3221236768 2
1 3221237760 2
1 3221237792 2
1 3221238784 2
1 3221238816 2
1 3221239808 2
1 3221239840 2
1 3221240832 2
1 3221240864 2
2 3221225472 1
2 3221225504 1
2 3221226432 1
2 3221226464 1
2 3221226496 1
2 3221226528 1
2 3221227456 2
2 3221227488 2
2 3221227520 1
2 3221227552 1
2 3221228480 2
2 3221228512 2
2 3221228544 1
2 3221228576 1
2 3221229504 2
2 3221229536 2
2 3221229568 1
2 3221229600 1
2 3221230528 2
2 3221230560 2
2 3221230592 1
2 3221230624 1
2 3221231552 2
2 3221231584 2
2 3221231616 1
2 3221231648 1
2 3221232576 2
2 3221232608 2
2 3221232640 1
2 3221232672 1
2 3221233600 2
2 3221233632 2
2 3221233664 1
2 3221233696 1
2 3221234624 2
2 3221234656 2
2 3221234688 1
2 3221234720 1
2 3221235648 2
2 3221235680 2
2 3221235712 1
2 3221235744 1
2 3221236672 2
2 3221236704 2
2 3221236736 1
2 3221236768 1
2 3221237696 2
2 3221237728 2
2 3221237760 1
2 3221237792 1
2 3221238720 2
2 3221238752 2
2 3221238784 1
2 3221238816 1
2 3221239744 2
2 3221239776 2
2 3221239808 1
2 3221239840 1
2 3221240768 2
2 3221240800 2
2 3221240832 1
2 3221240864 1
2 3221241792 2
2 3221241824 2
2 3221471232 2
2 3221471264 2
2 3221472256 2
2 3221472288 2
2 3221473280 2
2 3221473312 2
2 3221474304 2
2 3221474336 2
2 3221475328 2
2 3221475360 2
2 3221476352 2
2 3221476384 2
2 3221477376 2
2 3221477408 2
2 3221478400 2
2 3221478432 2
2 3221479424 2
2 3221479456 2
2 3221480448 2
2 3221480480 2
2 3221481472 2
2 3221481504 2
2 3221482496 2
2 3221482528 2
2 3221483520 2
2 3221483552 2
2 3221484544 2
2 3221484576 2
2 3221485568 2
2 3221485600 2
2 3221486592 2
2 3221486624 2
3 3221225600 1
3 3221225632 1
3 3221225664 1
3 3221225696 1
3 3221225856 1
3 3221225888 1
3 3221225920 1
3 3221225952 1
3 3221225984 1
3 3221226016 1
3 3221226048 1
3 3221226080 1
3 3221226112 1
3 3221226144 1
3 3221226240 1
3 3221226272 1
3 3221226368 2
3 3221226400 2
3 3221226432 5
3 3221226464 5
3 3221226624 1
3 3221226656 1
3 3221226688 1
3 3221226720 1
3 3221226880 1
3 3221226912 1
3 3221226944 1
3 3221226976 1
3 3221227008 1
3 3221227040 1
3 3221227072 1
3 3221227104 1
3 3221227136 1
3 3221227168 1
3 3221227264 1
3 3221227296 1
3 3221227392 2
3 3221227424 2
3 3221227456 5
3 3221227488 5
3 3221227648 1
3 3221227680 1
3 3221227712 1
3 3221227744 1
3 3221227904 1
3 3221227936 1
3 3221227968 1
3 3221228000 1
3 3221228032 1
3 3221228064 1
3 3221228096 1
3 3221228128 1
3 3221228160 1
3 3221228192 1
3 3221228288 1
3 3221228320 1
3 3221228416 2
3 3221228448 2
3 3221228480 5
3 3221228512 5
3 3221228672 1
3 3221228704 1
3 3221228736 1
3 3221228768 1
3 3221228928 1
3 3221228960 1
3 3221228992 1
3 3221229024 1
3 3221229056 1
3 3221229088 1
3 3221229120 1
3 3221229152 1
3 3221229184 1
3 3221229216 1
3 3221229312 1
3 3221229344 1
3 3221229440 2
3 3221229472 2
3 3221229504 5
3 3221229536 5
3 3221229696 1
3 3221229728 1
3 3221229760 1
3 3221229792 1
3 3221229952 1
3 3221229984 1
3 3221230016 1
3 3221230048 1
3 3221230080 1
3 3221230112 1
3 3221230144 1
3 3221230176 1
3 3221230208 1
3 3221230240 1
3 3221230336 1
3 3221230368 1
3 3221230464 2
3 3221230496 2
3 3221230528 5
3 3221230560 5
3 3221230720 1
3 3221230752 1
3 3221230784 1
3 3221230816 1
3 3221230976 1
3 3221231008 1
3 3221231040 1
3 3221231072 1
3 3221231104 1
3 3221231136 1
3 3221231168 1
3 3221231200 1
3 3221231232 1
3 3221231264 1
3 3221231360 1
3 3221231392 1
3 3221231488 2
3 3221231520 2
3 3221231552 5
3 3221231584 5
3 3221231744 1
3 3221231776 1
3 3221231808 1
3 3221231840 1
3 3221232000 1
3 3221232032 1
3 3221232064 1
3 3221232096 1
3 3221232128 1
3 3221232160 1
3 3221232192 1
3 3221232224 1
3 3221232256 1
3 3221232288 1
3 3221232384 1
3 3221232416 1
3 3221232512 2
3 3221232544 2
3 3221232576 5
3 3221232608 5
3 3221232768 1
3 3221232800 1
3 3221232832 1
3 3221232864 1
3 3221233024 1
3 3221233056 1
3 3221233088 1
3 3221233120 1
3 3221233152 1
3 3221233184 1
3 3221233216 1
3 3221233248 1
3 3221233280 1
3 3221233312 1
3 3221233408 1
3 3221233440 1
3 3221233536 2
3 3221233568 2
3 3221233600 5
3 3221233632 5
3 3221233792 1
3 3221233824 1
3 3221233856 3
3 3221233888 6
3 3221234048 1
3 3221234080 1
3 3221234112 1
3 3221234144 1
3 3221234176 1
3 3221234208 1
3 3221234240 1
3 3221234272 1
3 3221234304 1
3 3221234336 1
3 3221234432 1
3 3221234464 1
3 3221234560 2
3 3221234592 2
3 3221234624 5
3 3221234656 5
3 3221234816 1
3 3221234848 1
3 3221234880 4
3 3221234912 1
3 3221235072 1
3 3221235104 1
3 3221235136 1
3 3221235168 1
3 3221235200 1
3 3221235232 1
3 3221235264 1
3 3221235296 1
3 3221235328 1
3 3221235360 1
3 3221235456 1
3 3221235488 1
3 3221235584 2
3 3221235616 2
3 3221235648 5
3 3221235680 5
3 3221235840 1
3 3221235872 1
3 3221235904 1
3 3221235936 1
3 3221236096 1
3 3221236128 1
3 3221236160 1
3 3221236192 1
3 3221236224 1
3 3221236256 1
3 3221236288 1
3 3221236320 1
3 3221236352 1
3 3221236384 1
3 3221236480 1
3 3221236512 1
3 3221236608 2
3 3221236640 2
3 3221236672 5
3 3221236704 5
3 3221236864 1
3 3221236896 1
3 3221236928 1
3 3221236960 1
3 3221237120 1
3 3221237152 1
3 3221237184 1
3 3221237216 1
3 3221237248 1
3 3221237280 1
3 3221237312 1
3 3221237344 1
3 3221237376 1
3 3221237408 1
3 3221237504 1
3 3221237536 1
3 3221237632 2
3 3221237664 2
3 3221237696 5
3 3221237728 5
3 3221237888 1
3 3221237920 1
3 3221237952 1
3 3221237984 1
3 3221238144 1
3 3221238176 1
3 3221238208 1
3 3221238240 1
3 3221238272 1
3 3221238304 1
3 3221238336 1
3 3221238368 1
3 3221238400 1
3 3221238432 1
3 3221238528 1
3 3221238560 1
3 3221238656 2
3 3221238688 2
3 3221238720 5
3 3221238752 5
3 3221238912 1
3 3221238944 1
3 3221238976 1
3 3221239008 1
3 3221239168 1
3 3221239200 1
3 3221239232 1
3 3221239264 1
3 3221239296 1
3 3221239328 1
3 3221239360 1
3 3221239392 1
3 3221239424 1
3 3221239456 1
3 3221239552 1
3 3221239584 1
3 3221239680 2
3 3221239712 2
3 3221239744 5
3 3221239776 5
3 3221239936 1
3 3221239968 1
3 3221240000 1
3 3221240032 1
3 3221240192 1
3 3221240224 1
3 3221240256 1
3 3221240288 1
3 3221240320 1
3 3221240352 1
3 3221240384 1
3 3221240416 1
3 3221240448 1
3 3221240480 1
3 3221240576 1
3 3221240608 1
3 3221240704 2
3 3221240736 2
3 3221240768 5
3 3221240800 5
3 3221240960 1
3 3221240992 1
3 3221241024 1
3 3221241056 1
3 3221241216 1
3 3221241248 1
3 3221241280 1
3 3221241312 1
3 3221241344 1
3 3221241376 1
3 3221241408 1
3 3221241440 1
3 3221241472 1
3 3221241504 1
3 3221241600 1
3 3221241632 1
3 3221241728 2
3 3221241760 2
3 3221241792 5
3 3221241824 5
3 3221241856 1
3 3221241888 1
3 3221242816 2
3 3221242848 2
3 3221242880 1
3 3221242912 1
3 3221243840 2
3 3221243872 2
3 3221243904 1
3 3221243936 1
3 3221244864 2
3 3221244896 2
3 3221244928 1
3 3221244960 1
3 3221245888 2
3 3221245920 2
3 3221245952 1
3 3221245984 1
3 3221246912 2
3 3221246944 2
3 3221246976 1
3 3221247008 1
3 3221247936 2
3 3221247968 2
3 3221248000 1
3 3221248032 1
3 3221248960 2
3 3221248992 2
3 3221249024 1
3 3221249056 1
3 3221249984 2
3 3221250016 2
3 3221250048 1
3 3221250080 1
3 3221251008 2
3 3221251040 2
3 3221251072 1
3 3221251104 1
3 3221252032 2
3 3221252064 2
3 3221252096 1
3 3221252128 1
3 3221253056 2
3 3221253088 2
3 3221253120 1
3 3221253152 1
3 3221254080 2
3 3221254112 2
3 3221254144 1
3 3221254176 1
3 3221255104 2
3 3221255136 2
3 3221255168 1
3 3221255200 1
3 3221256128 2
3 3221256160 2
3 3221256192 1
3 3221256224 1
3 3221257152 2
3 3221257184 2
3 3221257216 1
3 3221257248 1
3 3221258176 2
3 3221258208 2
3 3221258240 1
3 3221258272 1
3 3221259200 2
3 3221259232 2
3 3221259264 1
3 3221259296 1
3 3221260224 2
3 3221260256 2
3 3221260288 1
3 3221260320 1
3 3221261248 2
3 3221261280 2
3 3221261312 1
3 3221261344 1
3 3221262272 2
3 3221262304 2
3 3221262336 1
3 3221262368 1
3 3221263296 2
3 3221263328 2
3 3221263360 1
3 3221263392 1
3 3221264320 2
3 3221264352 2
3 3221264384 1
3 3221264416 1
3 3221265344 2
3 3221265376 2
3 3221265408 1
3 3221265440 1
3 3221266368 2
3 3221266400 2
3 3221266432 1
3 3221266464 1
3 3221267392 2
3 3221267424 2
3 3221267456 1
3 3221267488 1
3 3221268416 2
3 3221268448 2
3 3221268480 1
3 3221268512 1
3 3221269440 2
3 3221269472 2
3 3221269504 1
3 3221269536 1
3 3221270464 2
3 3221270496 2
3 3221270528 1
3 3221270560 1
3 3221271488 2
3 3221271520 2
3 3221271552 1
3 3221271584 1
3 3221272512 2
3 3221272544 2
3 3221272576 1
3 3221272608 1
3 3221273536 2
3 3221273568 2
3 3221273600 1
3 3221273632 1
3 3221274560 2
3 3221274592 2
3 3221274624 1
3 3221274656 1
3 3221275584 2
3 3221275616 2
3 3221275648 1
3 3221275680 1
3 3221276608 2
3 3221276640 2
3 3221276672 1
3 3221276704 1
3 3221277632 2
3 3221277664 2
3 3221277696 1
3 3221277728 1
3 3221278656 2
3 3221278688 2
3 3221278720 1
3 3221278752 1
3 3221279680 2
3 3221279712 2
3 3221279744 1
3 3221279776 1
3 3221280704 2
3 3221280736 2
3 3221280768 1
3 3221280800 1
3 3221281728 2
3 3221281760 2
3 3221281792 1
3 3221281824 1
3 3221282752 2
3 3221282784 2
3 3221282816 1
3 3221282848 1
3 3221283776 2
3 3221283808 2
3 3221283840 1
3 3221283872 1
3 3221284800 2
3 3221284832 2
3 3221284864 1
3 3221284896 1
3 3221285824 2
3 3221285856 2
3 3221285888 1
3 3221285920 1
